POS.,MODELO,MAR.26 (A),% TOTAL,FEV.26 (B),% TOTAL_1,% VAR. (A/B),mes,POS. FEV.
1º,FIAT STRADA,16.706,"32,22%",11.191,"30,88%","49,28%",mar_2026,1º
2º,FIAT TORO,5.091,"9,82%",3.941,"10,87%","29,18%",mar_2026,2º
3º,VW SAVEIRO,4.876,"9,40%",2.827,"7,80%","72,48%",mar_2026,4º
4º,TOYOTA HILUX,3.979,"7,67%",3.304,"9,12%","20,43%",mar_2026,3º
5º,FORD RANGER,2.998,"5,78%",2.048,"5,65%","46,39%",mar_2026,5º
6º,CHEVROLET S10,2.625,"5,06%",1.578,"4,35%","66,35%",mar_2026,8º
7º,FIAT FIORINO,2.412,"4,65%",1.821,"5,02%","32,45%",mar_2026,7º
8º,RAM RAMPAGE,2.198,"4,24%",1.889,"5,21%","16,36%",mar_2026,6º
9º,CHEVROLET MONTANA,1.576,"3,04%",1.066,"2,94%","47,84%",mar_2026,9º
10º,RENAULT MASTER,1.106,"2,13%",655,"1,81%","68,85%",mar_2026,12º
11º,MITSUBISHI TRITON,964,"1,86%",710,"1,96%","35,77%",mar_2026,11º
12º,RENAULT OROCH,915,"1,76%",808,"2,23%","13,24%",mar_2026,10º
13º,GWM POER,677,"1,31%",258,"0,71%","162,40%",mar_2026,17º
14º,FIAT TITANO,581,"1,12%",367,"1,01%","58,31%",mar_2026,13º
15º,KIA K2500,448,"0,86%",324,"0,89%","38,27%",mar_2026,15º
16º,FORD MAVERICK,433,"0,84%",297,"0,82%","45,79%",mar_2026,16º
17º,RAM DAKOTA*,378,"0,73%",114,"0,31%",-,mar_2026,27º
18º,FIAT DUCATO,346,"0,67%",197,"0,54%","75,63%",mar_2026,20º
19º,NISSAN FRONTIER,306,"0,59%",83,"0,23%","268,67%",mar_2026,30º
20º,TOYOTA HIACE*,299,"0,58%",185,"0,51%",-,mar_2026,23º
21º,FIAT SCUDO,280,"0,54%",364,"1,00%","-23,08%",mar_2026,14º
22º,FORD TRANSIT,271,"0,52%",195,"0,54%","38,97%",mar_2026,21º
